amd64,cc,ar,
arm,arm-linux-gnueabihf-gcc,arm-linux-gnueabihf-ar,gcc-arm-linux-gnueabihf
arm64,aarch64-linux-gnueabi-gcc,aarch64-linux-gnu-ar,gcc-aarch64-linux-gnu
mips64,mips-linux-gnu-gcc,mips-linux-gnu-ar,gcc-mips-linux-gnu
